Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
272,Antonín Kinský,cz CZE,GK,Tottenham,22-003,2003,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
273,Jakub Kiwior,pl POL,DF,Arsenal,25-029,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,8,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
274,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-315,1999,28,24,"1,936",21.5,12,6,18,6,6,6,6,0,9.9,5.1,4.7,9.9,64,88,132,0.56,0.28,0.84,0.28,0.56,0.46,0.22,0.68,0.24,0.46,Matches
275,Ibrahima Konaté,fr FRA,DF,Liverpool,25-295,1999,23,22,"1,894",21,1,2,3,1,0,0,5,0,1.1,1.1,0.9,2,18,87,2,0.05,0.1,0.14,0.05,0.14,0.05,0.04,0.09,0.05,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
276,Ezri Konsa,eng ENG,DF,Aston Villa,27-144,1997,25,25,"2,171",24.1,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.8,16,59,11,0.04,0,0.04,0.04,0.04,0.03,0.01,0.03,0.03,0.03,Matches
277,Mateo Kovačić,hr CRO,MF,Manchester City,30-314,1994,24,19,"1,681",18.7,4,1,5,4,0,0,5,0,1.4,1.4,3.4,4.8,44,122,14,0.21,0.05,0.27,0.21,0.27,0.08,0.18,0.26,0.08,0.26,Matches
278,Caleb Kporha,eng ENG,DF,Crystal Palace,18-244,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
279,Emil Krafth,se SWE,DF,Newcastle Utd,30-226,1994,4,2,242,2.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches
280,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-226,2000,24,24,"1,994",22.2,3,1,4,3,0,0,0,1,5.9,5.9,2.1,8,79,64,167,0.14,0.05,0.18,0.14,0.18,0.26,0.1,0.36,0.26,0.36,Matches
281,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-325,2000,27,24,"2,154",23.9,7,4,11,7,0,0,3,0,4.1,4.1,6.1,10.2,115,118,199,0.29,0.17,0.46,0.29,0.46,0.17,0.25,0.43,0.17,0.43,Matches
282,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-344,2000,25,25,"2,245",24.9,1,1,2,1,0,0,4,0,2.5,2.5,0.4,2.9,8,51,5,0.04,0.04,0.08,0.04,0.08,0.1,0.02,0.12,0.1,0.12,Matches
283,Adam Lallana,eng ENG,MF,Southampton,36-310,1988,14,5,361,4,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0,0.5,0.5,0,0.5,0.04,0.23,0.27,0.04,0.27,Matches
284,Tariq Lamptey,gh GHA,DF,Brighton,24-167,2000,13,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25,12,40,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14,Matches
285,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-330,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
286,Roméo Lavia,be BEL,MF,Chelsea,21-069,2004,10,8,532,5.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,17,6,0,0.17,0.17,0,0.17,0.03,0.12,0.15,0.03,0.15,Matches
287,Mario Lemina,ga GAB,"MF,DF",Wolves,31-196,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
288,Bernd Leno,de GER,GK,Fulham,33-012,1992,28,28,"2,520",28,0,1,1,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0,0,Matches
289,Jefferson Lerma,co COL,MF,Crystal Palace,30-142,1994,23,18,"1,541",17.1,0,0,0,0,0,0,5,0,0.9,0.9,1.4,2.4,9,75,24,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14,Matches
